BioSample	Experiment	InsertSize	MBases	MBytes	Run	SRA_Sample	Sample_Name	description	sample_name	sample_title	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	biomaterial_provider	bioproject_id	cell_line	cell_type	dev_stage	disease	sex	tissue_type
SAMD00066237	DRX070228	641	217	148	DRR076384	DRS034998	DRS034998	Sample ID: CAGE_4_E02, Run: 1772-123-072, Well: E02, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_E02	CAGE_4_E02	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066238	DRX070229	641	167	113	DRR076385	DRS034999	DRS034999	Sample ID: CAGE_4_E03, Run: 1772-123-072, Well: E03, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_E03	CAGE_4_E03	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066239	DRX070230	641	211	148	DRR076386	DRS035000	DRS035000	Sample ID: CAGE_4_E04, Run: 1772-123-072, Well: E04, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_E04	CAGE_4_E04	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066240	DRX070231	641	259	177	DRR076387	DRS035001	DRS035001	Sample ID: CAGE_4_E05, Run: 1772-123-072, Well: E05, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_E05	CAGE_4_E05	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066241	DRX070232	641	241	165	DRR076388	DRS035002	DRS035002	Sample ID: CAGE_4_E06, Run: 1772-123-072, Well: E06, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_E06	CAGE_4_E06	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066242	DRX070233	641	269	184	DRR076389	DRS035003	DRS035003	Sample ID: CAGE_4_E07, Run: 1772-123-072, Well: E07, Cell curation: Dead, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_E07	CAGE_4_E07	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066243	DRX070234	641	233	160	DRR076390	DRS035004	DRS035004	Sample ID: CAGE_4_E08, Run: 1772-123-072, Well: E08, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_E08	CAGE_4_E08	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066244	DRX070235	641	237	162	DRR076391	DRS035005	DRS035005	Sample ID: CAGE_4_E09, Run: 1772-123-072, Well: E09, Cell curation: Dead, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_E09	CAGE_4_E09	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066245	DRX070236	641	217	148	DRR076392	DRS035006	DRS035006	Sample ID: CAGE_4_E10, Run: 1772-123-072, Well: E10, Cell curation: Green, Timepoint: t06, QC pass: TRUE, Lane4	CAGE_4_E10	CAGE_4_E10	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066246	DRX070237	641	192	131	DRR076393	DRS035007	DRS035007	Sample ID: CAGE_4_E11, Run: 1772-123-072, Well: E11, Cell curation: No, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_E11	CAGE_4_E11	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066247	DRX070238	641	259	176	DRR076394	DRS035008	DRS035008	Sample ID: CAGE_4_E12, Run: 1772-123-072, Well: E12, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_E12	CAGE_4_E12	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066248	DRX070239	641	163	112	DRR076395	DRS035009	DRS035009	Sample ID: CAGE_4_F01, Run: 1772-123-072, Well: F01, Cell curation: Double, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_F01	CAGE_4_F01	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066249	DRX070240	641	205	141	DRR076396	DRS035010	DRS035010	Sample ID: CAGE_4_F02, Run: 1772-123-072, Well: F02, Cell curation: Dead, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_F02	CAGE_4_F02	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066250	DRX070241	641	132	90	DRR076397	DRS035011	DRS035011	Sample ID: CAGE_4_F03, Run: 1772-123-072, Well: F03, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_F03	CAGE_4_F03	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066251	DRX070242	641	268	184	DRR076398	DRS035012	DRS035012	Sample ID: CAGE_4_F04, Run: 1772-123-072, Well: F04, Cell curation: Green, Timepoint: t06, QC pass: TRUE, Lane4	CAGE_4_F04	CAGE_4_F04	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066252	DRX070243	641	247	169	DRR076399	DRS035013	DRS035013	Sample ID: CAGE_4_F05, Run: 1772-123-072, Well: F05, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_F05	CAGE_4_F05	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066253	DRX070244	641	180	123	DRR076400	DRS035014	DRS035014	Sample ID: CAGE_4_F06, Run: 1772-123-072, Well: F06, Cell curation: No, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_F06	CAGE_4_F06	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066254	DRX070245	641	282	193	DRR076401	DRS035015	DRS035015	Sample ID: CAGE_4_F07, Run: 1772-123-072, Well: F07, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_F07	CAGE_4_F07	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066255	DRX070246	641	217	149	DRR076402	DRS035016	DRS035016	Sample ID: CAGE_4_F08, Run: 1772-123-072, Well: F08, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_F08	CAGE_4_F08	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066256	DRX070247	641	237	163	DRR076403	DRS035017	DRS035017	Sample ID: CAGE_4_F09, Run: 1772-123-072, Well: F09, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_F09	CAGE_4_F09	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066257	DRX070248	641	211	144	DRR076404	DRS035018	DRS035018	Sample ID: CAGE_4_F10, Run: 1772-123-072, Well: F10, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_F10	CAGE_4_F10	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066258	DRX070249	641	288	197	DRR076405	DRS035019	DRS035019	Sample ID: CAGE_4_F11, Run: 1772-123-072, Well: F11, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_F11	CAGE_4_F11	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066259	DRX070250	641	277	189	DRR076406	DRS035020	DRS035020	Sample ID: CAGE_4_F12, Run: 1772-123-072, Well: F12, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_F12	CAGE_4_F12	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066260	DRX070251	641	146	100	DRR076407	DRS035021	DRS035021	Sample ID: CAGE_4_G01, Run: 1772-123-072, Well: G01, Cell curation: No, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_G01	CAGE_4_G01	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066261	DRX070252	641	199	137	DRR076408	DRS035022	DRS035022	Sample ID: CAGE_4_G02, Run: 1772-123-072, Well: G02, Cell curation: Double, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_G02	CAGE_4_G02	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066262	DRX070253	641	123	84	DRR076409	DRS035023	DRS035023	Sample ID: CAGE_4_G03, Run: 1772-123-072, Well: G03, Cell curation: Green, Timepoint: t06, QC pass: TRUE, Lane4	CAGE_4_G03	CAGE_4_G03	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066263	DRX070254	641	211	144	DRR076410	DRS035024	DRS035024	Sample ID: CAGE_4_G04, Run: 1772-123-072, Well: G04, Cell curation: No, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_G04	CAGE_4_G04	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066264	DRX070255	641	229	157	DRR076411	DRS035025	DRS035025	Sample ID: CAGE_4_G05, Run: 1772-123-072, Well: G05, Cell curation: Green, Timepoint: t06, QC pass: TRUE, Lane4	CAGE_4_G05	CAGE_4_G05	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066265	DRX070256	641	255	174	DRR076412	DRS035026	DRS035026	Sample ID: CAGE_4_G06, Run: 1772-123-072, Well: G06, Cell curation: Green, Timepoint: t06, QC pass: TRUE, Lane4	CAGE_4_G06	CAGE_4_G06	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066266	DRX070257	641	264	181	DRR076413	DRS035027	DRS035027	Sample ID: CAGE_4_G07, Run: 1772-123-072, Well: G07, Cell curation: Double, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_G07	CAGE_4_G07	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066267	DRX070258	641	218	150	DRR076414	DRS035028	DRS035028	Sample ID: CAGE_4_G08, Run: 1772-123-072, Well: G08, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_G08	CAGE_4_G08	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066268	DRX070259	641	248	170	DRR076415	DRS035029	DRS035029	Sample ID: CAGE_4_G09, Run: 1772-123-072, Well: G09, Cell curation: Dead, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_G09	CAGE_4_G09	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066269	DRX070260	641	200	137	DRR076416	DRS035030	DRS035030	Sample ID: CAGE_4_G10, Run: 1772-123-072, Well: G10, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_G10	CAGE_4_G10	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066270	DRX070261	641	247	169	DRR076417	DRS035031	DRS035031	Sample ID: CAGE_4_G11, Run: 1772-123-072, Well: G11, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_G11	CAGE_4_G11	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066271	DRX070262	641	232	159	DRR076418	DRS035032	DRS035032	Sample ID: CAGE_4_G12, Run: 1772-123-072, Well: G12, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_G12	CAGE_4_G12	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066272	DRX070263	641	180	125	DRR076419	DRS035033	DRS035033	Sample ID: CAGE_4_H01, Run: 1772-123-072, Well: H01, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_H01	CAGE_4_H01	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066273	DRX070264	641	214	148	DRR076420	DRS035034	DRS035034	Sample ID: CAGE_4_H02, Run: 1772-123-072, Well: H02, Cell curation: Green, Timepoint: t06, QC pass: TRUE, Lane4	CAGE_4_H02	CAGE_4_H02	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066274	DRX070265	641	139	95	DRR076421	DRS035035	DRS035035	Sample ID: CAGE_4_H03, Run: 1772-123-072, Well: H03, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_H03	CAGE_4_H03	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066275	DRX070266	641	236	163	DRR076422	DRS035036	DRS035036	Sample ID: CAGE_4_H04, Run: 1772-123-072, Well: H04, Cell curation: Dead, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_H04	CAGE_4_H04	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066276	DRX070267	641	234	162	DRR076423	DRS035037	DRS035037	Sample ID: CAGE_4_H05, Run: 1772-123-072, Well: H05, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_H05	CAGE_4_H05	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066277	DRX070268	641	251	173	DRR076424	DRS035038	DRS035038	Sample ID: CAGE_4_H06, Run: 1772-123-072, Well: H06, Cell curation: Green, Timepoint: t06, QC pass: TRUE, Lane4	CAGE_4_H06	CAGE_4_H06	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066278	DRX070269	641	280	193	DRR076425	DRS035039	DRS035039	Sample ID: CAGE_4_H07, Run: 1772-123-072, Well: H07, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_H07	CAGE_4_H07	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066279	DRX070270	641	221	152	DRR076426	DRS035040	DRS035040	Sample ID: CAGE_4_H08, Run: 1772-123-072, Well: H08, Cell curation: Double, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_H08	CAGE_4_H08	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066280	DRX070271	641	213	147	DRR076427	DRS035041	DRS035041	Sample ID: CAGE_4_H09, Run: 1772-123-072, Well: H09, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_H09	CAGE_4_H09	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066281	DRX070272	641	197	136	DRR076428	DRS035042	DRS035042	Sample ID: CAGE_4_H10, Run: 1772-123-072, Well: H10, Cell curation: No, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_H10	CAGE_4_H10	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066282	DRX070273	641	341	234	DRR076429	DRS035043	DRS035043	Sample ID: CAGE_4_H11, Run: 1772-123-072, Well: H11, Cell curation: No, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_H11	CAGE_4_H11	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066283	DRX070274	641	177	122	DRR076430	DRS035044	DRS035044	Sample ID: CAGE_4_H12, Run: 1772-123-072, Well: H12, Cell curation: No, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_H12	CAGE_4_H12	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066284	DRX070275	641	124	85	DRR076431	DRS035045	DRS035045	Sample ID: CAGE_5_A01, Run: 1772-123-073, Well: A01, Cell curation: Green, Timepoint: t00, QC pass: TRUE, Lane6	CAGE_5_A01	CAGE_5_A01	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066285	DRX070276	631	141	96	DRR076432	DRS035046	DRS035046	Sample ID: CAGE_5_A02, Run: 1772-123-073, Well: A02, Cell curation: No, Timepoint: NA, QC pass: FALSE, Lane6	CAGE_5_A02	CAGE_5_A02	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066286	DRX070277	631	96	66	DRR076433	DRS035047	DRS035047	Sample ID: CAGE_5_A03, Run: 1772-123-073, Well: A03, Cell curation: G/R, Timepoint: t24, QC pass: TRUE, Lane6	CAGE_5_A03	CAGE_5_A03	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
